period,block_number,timestamp,datetime_utc,direction,usd_notional_in,eth_usd,ixs_usd,amount_in,amount_in_unit,amount_out,amount_out_unit,spot_price,spot_price_unit,avg_exec_price,avg_exec_price_unit,gross_slippage_pct,slippage_excl_fees_pct_raw,fee_rate
UniV2 pre,23593125,1760652719,2025-10-16 22:11:59+00:00,IXS->ETH,5000.0,3869.911517636345,0.17753414019226374,28163.597123264077,IXS,1.2795361354833803,ETH,4.587550371195505e-05,ETH_per_IXS,4.543226953159476e-05,ETH_per_IXS,0.9661674412193629,0.6661674412193629,0.003
UniV2 pre,23593125,1760652719,2025-10-16 22:11:59+00:00,IXS->ETH,10000.0,3869.911517636345,0.17753414019226374,56327.19424652815,IXS,2.5420867601107866,ETH,4.587550371195505e-05,ETH_per_IXS,4.5130718725040586e-05,ETH_per_IXS,1.6234916821640784,1.3234916821640783,0.003
UniV2 pre,23593125,1760652719,2025-10-16 22:11:59+00:00,IXS->ETH,50000.0,3869.911517636345,0.17753414019226374,281635.9712326408,IXS,12.069553036225635,ETH,4.587550371195505e-05,ETH_per_IXS,4.285515441582488e-05,ETH_per_IXS,6.583795384775406,6.283795384775406,0.003
UniV2 pre,23593725,1760659967,2025-10-17 00:12:47+00:00,ETH->IXS,1000.0,3901.5772372842193,0.17887471690723256,0.2563066009417444,ETH,5566.303488500111,IXS,21811.787069424925,IXS_per_ETH,21717.362986547778,IXS_per_ETH,0.4329039274801563,0.13290392748015634,0.003
UniV2 pre,23593725,1760659967,2025-10-17 00:12:47+00:00,ETH->IXS,5000.0,3901.5772372842193,0.17887471690723256,1.281533004708722,ETH,27683.90262258003,IXS,21811.787069424925,IXS_per_ETH,21602.17686229023,IXS_per_ETH,0.9609951099720752,0.6609951099720752,0.003
UniV2 pre,23593725,1760659967,2025-10-17 00:12:47+00:00,ETH->IXS,10000.0,3901.5772372842193,0.17887471690723256,2.563066009417444,ETH,55003.14317224185,IXS,21811.787069424925,IXS_per_ETH,21459.901137990375,IXS_per_ETH,1.6132833605725738,1.313283360572574,0.003
UniV2 pre,23593725,1760659967,2025-10-17 00:12:47+00:00,ETH->IXS,50000.0,3901.5772372842193,0.17887471690723256,12.815330047087219,ETH,261250.57892091668,IXS,21811.787069424925,IXS_per_ETH,20385.786238903464,IXS_per_ETH,6.537753307340814,6.237753307340814,0.003
UniV2 pre,23593725,1760659967,2025-10-17 00:12:47+00:00,IXS->ETH,1000.0,3901.5772372842193,0.17887471690723256,5590.505004229395,IXS,0.25519703959987666,ETH,4.5846770684909554e-05,ETH_per_IXS,4.5648298213991764e-05,ETH_per_IXS,0.432903927480156,0.132903927480156,0.003
UniV2 pre,23593725,1760659967,2025-10-17 00:12:47+00:00,IXS->ETH,5000.0,3901.5772372842193,0.17887471690723256,27952.525021146976,IXS,1.2692175352007928,ETH,4.5846770684909554e-05,ETH_per_IXS,4.5406185460547465e-05,ETH_per_IXS,0.9609951099720752,0.6609951099720752,0.003
UniV2 pre,23593725,1760659967,2025-10-17 00:12:47+00:00,IXS->ETH,10000.0,3901.5772372842193,0.17887471690723256,55905.05004229395,IXS,2.521716491967021,ETH,4.5846770684909554e-05,ETH_per_IXS,4.5107132362090045e-05,ETH_per_IXS,1.6132833605725738,1.313283360572574,0.003
