block_number,timestamp,datetime_utc,vault_owner,vault,module,poolKey_currency0,poolKey_currency1,poolKey_symbol0,poolKey_symbol1,fee_uint24,fee_rate,tick_spacing,hooks,vault_underlying0_raw,vault_underlying1_raw,vault_underlying0,vault_underlying1,underlying_mapping_mode,amt_eth,amt_ixs,eth_usd,spot_ixs_per_eth,spot_eth_per_ixs,ixs_usd,value_eth_usd,value_ixs_usd,value_total_usd,ixs_symbol,eth_symbol,hold_value_usd,full_range_lp_amt_ixs,full_range_lp_amt_eth,full_range_lp_value_usd,vault_value_index,hold_value_index,full_range_lp_value_index
24199326,1767988223,2026-01-09 19:50:23+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4095875463761570784927096,103990741086184737361,4095875.463761570784927096,103.990741086184737361,u0_ixs_u1_eth,103.99074108618474,4095875.463761571,3078.0501932704474,24997.787648615915,4.000354007549017e-05,0.12313290426086462,320088.720698668,504337.041343778,824425.762042446,IXS,ETH,448810.6187101379,1821402.2488351786,72.86253785486599,448549.0974526911,1.4148847772409647,0.7702516606272416,0.7847897239889511
24199926,1767995459,2026-01-09 21:50:59+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4095875463761570784927096,103990741086184737361,4095875.463761570784927096,103.990741086184737361,u0_ixs_u1_eth,103.99074108618474,4095875.463761571,3078.707980666279,24997.787648615915,4.000354007549017e-05,0.12315921808531492,320157.1244974377,504444.81949170167,824601.9439891394,IXS,ETH,448906.53071597463,1821402.2488351786,72.86253785486599,448644.9535707496,1.4151871418271753,0.7704162654264377,0.7849574356104012
24200526,1768002659,2026-01-09 23:50:59+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4111012936022753861471115,103388426425802816169,4111012.936022753861471115,103.388426425802816169,u0_ixs_u1_eth,103.38842642580282,4111012.936022754,3083.68003558022,25090.086947132742,3.9856378421768624e-05,0.12290431842973819,318816.8264793026,505261.24295771343,824078.069437016,IXS,ETH,448776.24390655477,1824761.7312054033,72.7283940884842,448542.19374093844,1.4142880649628775,0.7701926663689959,0.7847776451283054
24201126,1768009883,2026-01-10 01:51:23+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4111012936022753861471115,103388426425802816169,4111012.936022753861471115,103.388426425802816169,u0_ixs_u1_eth,103.38842642580282,4111012.936022754,3086.7439412853896,25090.086947132742,3.9856378421768624e-05,0.12302643461497205,319133.5988688771,505763.2641749076,824896.8630437847,IXS,ETH,449222.1423390072,1824761.7312054033,72.7283940884842,448987.85962408944,1.4156932837991367,0.7709579201169009,0.7855573903276952
24201726,1768017131,2026-01-10 03:52:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4111012936022753861471115,103388426425802816169,4111012.936022753861471115,103.388426425802816169,u0_ixs_u1_eth,103.38842642580282,4111012.936022754,3082.894151881028,25090.086947132742,3.9856378421768624e-05,0.12287299595162769,318735.57520028943,505132.47584501293,823868.0510453023,IXS,ETH,448661.87213950977,1824761.7312054033,72.7283940884842,448427.8816221733,1.4139276300528376,0.7699963808092903,0.7845776425496719
24202326,1768024379,2026-01-10 05:52:59+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4111012936022753861471115,103388426425802816169,4111012.936022753861471115,103.388426425802816169,u0_ixs_u1_eth,103.38842642580282,4111012.936022754,3082.4981675935082,25090.086947132742,3.9856378421768624e-05,0.12285721345201524,318694.63500791346,505067.5937849433,823762.2287928568,IXS,ETH,448604.2434818187,1824761.7312054033,72.7283940884842,448370.2830195421,1.4137460172248888,0.7698974781375714,0.7844768669785743
24202926,1768031591,2026-01-10 07:53:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4111012936022753861471115,103388426425802816169,4111012.936022753861471115,103.388426425802816169,u0_ixs_u1_eth,103.38842642580282,4111012.936022754,3087.977122674914,25090.086947132742,3.9856378421768624e-05,0.12307558475909561,319261.09555223765,505965.3210532069,825226.4166054445,IXS,ETH,449401.61054117494,1824761.7312054033,72.7283940884842,449167.2342282493,1.4162588657340374,0.7712659245958208,0.785871227423542
24203526,1768038815,2026-01-10 09:53:35+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4084463035129136879913572,104455006264560364973,4084463.035129136879913572,104.455006264560364973,u0_ixs_u1_eth,104.45500626456037,4084463.035129137,3092.383215853874,24927.652374550853,4.011609216040417e-05,0.12405433008248105,323014.9081844377,506695.32556960237,829710.2337540401,IXS,ETH,451556.484647688,1818845.33708892,72.96496716818051,451271.27963242074,1.4239540214649342,0.7749641333497814,0.7895525038353713
24204126,1768046027,2026-01-10 11:53:47+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4034572744564013582451544,106475809049544619904,4034572.744564013582451544,106.475809049544619904,u0_ixs_u1_eth,106.47580904954462,4034572.7445640136,3093.2496795816637,24624.018568043826,4.061075560175886e-05,0.12561920675270985,329356.26222570235,506819.8277582349,836176.0899839372,IXS,ETH,454566.7745478336,1807734.082619667,73.41344702223707,454172.24295704043,1.4350507653716815,0.7801304121718386,0.7946280824504203
24204726,1768053275,2026-01-10 13:54:35+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4047973849877650792609686,105937510445086006528,4047973.849877650792609686,105.937510445086006528,u0_ixs_u1_eth,105.937510445086,4047973.849877651,3093.676482074012,24704.875168985996,4.04778406350897e-05,0.1252253436179168,327736.38463343255,506908.91630727035,834645.3009407029,IXS,ETH,453854.5263765905,1810699.6310556529,73.29321110388643,453490.96697555855,1.432423615403595,0.778908047294966,0.7934361095036374
24205326,1768060511,2026-01-10 15:55:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4047899149877650792609686,105940544825186366411,4047899.149877650792609686,105.940544825186366411,u0_ixs_u1_eth,105.94054482518636,4047899.1498776507,3091.1156313914407,24704.42119401078,4.047858446659075e-05,0.1251239851812774,327474.4741072592,506489.2732445966,833963.7473518557,IXS,ETH,453483.1728581055,1810682.9943373764,73.29388452850495,453119.7443029218,1.4312539287657773,0.7782707280062315,0.7927866115101033
24205926,1768067735,2026-01-10 17:55:35+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4019842158551578044766749,107084201879074904860,4019842.158551578044766749,107.08420187907490486,u0_ixs_u1_eth,107.08420187907491,4019842.158551578,3091.842767183521,24534.205190013618,4.075942107173047e-05,0.12602172123521746,331087.5150594378,506587.42791456176,837674.9429739995,IXS,ETH,455226.31169164216,1804434.3161529577,73.54769808835843,454795.8367549766,1.4376231064806098,0.7812623140455596,0.7957191335914052
24206526,1768074959,2026-01-10 19:55:59+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4019842158551578044766749,107084201879074904860,4019842.158551578044766749,107.08420187907490486,u0_ixs_u1_eth,107.08420187907491,4019842.158551578,3088.521668620813,24534.205190013618,4.075942107173047e-05,0.12588635518047933,330731.87787048845,506043.27774088865,836775.1556113771,IXS,ETH,454737.3309887706,1804434.3161529577,73.54769808835843,454307.31844615313,1.4360788856413989,0.7804231222290113,0.7948644130024611
